,House Request,Senate Request,Pre-reduction Amt. (Omni),Final Amount,Budget Request,Description,City/Location,County,State,Bill,Bill Section,Bill Subsection,Project Heading (Defense Bill Only),House Requesting Member(s),House Party,House State,Dist.,Senate Requesting Member(s),Senate Party,Senate State,Presidential Earmarks,Undisclosed,Intended Recipient or Location,Notes,is_pork
4824,100000,,,211500,,"Sheriffs Youth Programs of Minnesota, Inver Grove Heights, MN",Inver Grove Heights,,MN,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Walz,D,MN,,,,,,,,,0
4825,,350000,,312550,,"City of Bridgeport, Bridgeport, CT, for a summer and after-school program for youth",Bridgeport,,CT,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Shays,R,CT,,Lieberman,I,CT,,,,,0
4826,,,,1964000,0,"Fire Station, Silverbell Army Heliport",Marana,,AZ,Military Construction,Military Construction Project Listing,Army National Guard,,Giffords,D,AZ,,,,,,,,,0
4827,283707,,284000,282000,,"Pineapple Nematode Research, Hilo, HI",Hilo,,HI,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,Hirono,D,HI,,Inouye,D,HI,,,,,0
4828,,2000000,,1600000,,Shipboard Production of Synthetic Logistics and Aviation Fuel ,,,UNK,Defense,RDTE,Navy,Force Protection Applied Research,,,,,Bennett; Hatch,R; R,UT; UT,,,,,0
4829,200000,,200000,196000,,"Village of Wappingers Falls, NY, for land acquisition as part of a redevelopment plan",Wappingers Falls,,NY,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,"Hall, John",D,NY,,,,,,,,,0
4830,,350000,262500,257250,,"City of Brewer, for a redevelopment project on the site of the former Eastern Fine Paper Mill",Brewer,,ME,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,,,,,Collins; Snowe,R; R,ME; ME,,,,,0
4831,50000,,,47000,,"Fire Towns Community Center Youth Gang and Violence Prevention Project, Lawrence, NY",Lawrence,,NY,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,"McCarthy, Carolyn",D,NY,,,,,,,,,0
4832,,250000,200000,196000,,"Mercy Housing Incorporated, Mercy  housing project to build 50 new homes for low-income senior citizens",Holyoke,,MA,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,,,,,Kennedy; Kerry,D; D,MA; MA,,,,,0
4833,100000,,100000,98000,,Pompion Hill Chapel,,,SC,Interior,National Park Service,Save America's Treasures,,"Brown, Henry",R,SC,1,,,,,,,,0
4834,,125000,100000,98000,0,Shrewsbury River and Tributaries,,,NJ,Energy & Water,Corps of Engineers,General Investigations,,Pallone,D,NJ,,Lautenberg; Menendez,D; D,NJ; NJ,,,,,0
4835,,350000,,312550,,"City of Carson City, Carson City, NV, for combating meth in Nevada",Carson City,,NV,"Commerce, Justice & Science",Department of Justice,COPS; Meth,,,,,,Ensign; Reid,R; D,NV; NV,,,,,0
4836,3000000,4000000,,3200000,,"Fleece Insulating Liners for Extended Cold Weather Clothing System, Generation III (ECWCS GEN III)",Hudson,,NH,Defense,Operation and Maintenance,Army,Force Readiness Operations Support,Hodes; Meehan; Walberg,D; D; R,NH; MA; MI,,Graham; Gregg; Kennedy; Kerry; Stabenow; Sununu,R; R; D; D; D; R,SC; NH; MA; MA; MI; NH,,,Malden Mills Industries,,0
4837,200000,,200000,196000,,"Metropolitan Business Collaborative for planning, design, and construction of the Urban Entrepreneurship Center, a multipurpose facility to promote the growth of small businesses",Milwaukee,,WI,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,"Moore, Gwen",D,WI,,,,,,,,,0
4838,2000000,,,1600000,,Program Engineering Interoperability Framework,Washington,,DC,Defense,RDTE,Air Force,Integrated Command & Control Applications,Visclosky,D,IN,1,,,,,,Optimal Solutions & Technologies (OST),,0
4839,774966,,775000,770000,,"Shellfish Genetics Research, Newport, OR",Newport,,OR,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,Hooley,D,OR,,Murray; Smith; Wyden,D; R; D,WA; OR; OR,,,,,0
4840,,300000,201000,196980,,"City of Philadelphia, Green City Strategy, to clean and green 450 parcels-or about 450,000 square feet--of vacant land in Philadelphia using topsoil, grass, trees, and wood fencing",Philadelphia,,PA,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,,,,,Casey,D,PA,,,,,0
4841,,855000,804000,804000,,Heyburn Lake,,,OK,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,Inhofe,R,OK,,O & M-Disclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
4842,,910000,856000,856000,,Puget Sound and Tributary Waters,,,WA,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,,,,,O & M-Undisclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
4843,200000,,292000,286899,,"Sidney Health Center, Sidney, MT for purchase of equipment",Sidney,,MT,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,Rehberg,R,MT,,,,,,,,,0
4844,175000,,170000,167030,,"University Health System, San Antonio, TX for facilities and equipment",San Antonio ,,TX,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,Rodriguez,D,TX,,,,,,,,,0
4845,,2800000,,2800000,2800000,Aerospace Ground Equipment/Engine Faculty,Little Rock AFB,,AR,Military Construction,BRAC Projects 2005,Air Force,,,,,,,,,President-Solo & Und.,,,"Commission recommendation; 92, 93, 103",0
4846,100000,,,94000,,"City of Philadelphia, PA Youth Violence Reduction Partnership",Philadelphia,,PA,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,"Brady, Robert",D,PA,,Casey; Specter,D; R,PA; PA,,,,,0
4847,150000,,150000,147000,,FM Kirby Center for renovation and build out of a historic building,Wilkes-Barre,,PA,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,Kanjorski,D,PA,,,,,,,,,0
4848,100000,,,211500,,"Granite School District START program, Salt Lake City, UT",Salt Lake City,,UT,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Matheson,D,UT,,Bennett; Hatch,R; R,UT; UT,,,,,0
4849,250000,,,235000,,"Sheriff's Youth Programs of Minnesota, Marshall MN",Marshall,,MN,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,"Peterson, Collin",D,MN,,Coleman; Klobuchar,R; D,MN; MN,,,,,0
4850,,4100000,,3280000,,Army Center of Excellence in Acoustics ,,,MS,Defense,RDTE,Army,Weapons and Munitions Technology,,,,,Cochran,R,MS,,,,,0
4851,100000,,100000,98000,,City of Paxville for construction and build out of a technology center for youth and senior citizens,Paxville,,SC,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,Clyburn,D,SC,,,,,,,,,0
4852,,200000,165000,162117,,"Florida Memorial University, Miami Gardens, FL, for upgrades to the Nathan W Collier Library",Miami Gardens,,FL,Labor-HHS-Education,Related Agencies,Institute of Museum and Library Services,,,,,,"Nelson, Bill",D,FL,,,,,0
4853,1000000,,,1000000,,Senior Scout Integrated Mission Trainer,Littleton,,CO,Defense,Aircraft Procurement,Air Force,C-130,"Lamborn; Udall, Mark",R; D,CO; CO,,Allard; Salazar,R; D,CO; CO,,,Lockheed Martin Corp.,,0
4854,250000,,250000,245000,,Widen Route 10,Chesterfield,,VA,Transportation and Housing & Urban Development,Transportation,FHWA; Surface Transportation Priorities,,Forbes,R,VA,4,,,,,,,,0
4855,,1250000,,376000,,"Alabama Department of Corrections, for computer based corrections training",Montgomery,,AL,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Everett,R,AL,,Shelby,R,AL,,,,,0
4856,2000000,,,1600000,,Development & Testing of Advanced Paraffin-based Hybrid Rockets for Space Applications,Stanford,,CA,Defense,RDTE,Air Force,Aerospace Propulsion,Lofgren,D,CA,16,,,,,,"Space Propulsion Group, Inc. ",,0
4857,,1000000,,1000000,,Flexible Electronics Research Initiative,,,UNK,Defense,RDTE,Army,,,,,,Specter,R,PA,,,,,0
4858,250000,,243000,238755,,"Florida Southern College, Lakeland, FL to digitize holdings and create an online exhibit",Lakeland,,FL,Labor-HHS-Education,Related Agencies,Institute of Museum and Library Services,,Putnam,R,FL,,,,,,,,,0
4859,1000000,,951000,936000,0,"Placer County, CA ",,,CA,Energy & Water,Corps of Engineers,"Construction, General",,Doolittle,R,CA,,,,,,,,,0
4860,,270000,154000,154000,,Bayou Teche and Vermilion River,,,LA,Energy & Water,Corps of Engineers,Operation & Maintenance,,Boustany; Melancon,R; D,LA; LA,,Landrieu,D,LA,,O & M-Disclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
4861,,400000,300000,298000,,"Food and Fuel Initiative, IA",,,IA,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,,,,,Grassley; Harkin,R; D,IA; IA,,,Iowa State University,,0
4862,,4000000,,3750000,0,Fourteen Mile CSX Bridge,Mobile,,AL,Homeland Security,U.S. Coast Guard,Alteration of Bridges,,Bachus; Bonner,R; R,AL; AL,,Shelby,R,AL,,,,,0
4863,,150000,121000,118886,,"Moreno Valley, CA, to provide vocational training for young adults, as well as the development of an internship with local businesses to put the trainees' job skills to use upon graduation",Moreno Valley,,CA,Labor-HHS-Education,Department of Labor,Employment and Training Administration ,,,,,,Boxer,D,CA,,,,,0
4864,200000,,200000,196000,,Beatitude House for renovation and construction of a facility for homeless women and children,Warren,,OH,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,"Ryan, Tim",D,OH,,,,,,,,,0
4865,,100000,75000,74000,,Children Farm Safety,Ames,,IA,Ag-Rural Development-FDA,Agriculture,CSREES; Extension,,,,,,Harkin,D,IA,,,"Farm Safety Just 4 Kids; Ames, Iowa",,0
4866,2000000,,,1600000,,EQUATE at Army Operational Test Command,Erie ,,PA,Defense,RDTE,Army,Support of Operational Testing,English,R,PA,,,,,,,Bliley Technologies Inc.,,0
4867,,,,100000,,Franklin Regional Council of Governments,,,MA,Homeland Security,Federal Emergency Management Agency,Predisaster Mitigation,,Olver,D,MA,1,,,,,,,,0
4868,75000,,,282000,,"Morgantown, WV Police Department",Morgantown,,WV,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Mollohan,D,WV,,,,,,,,,0
4869,2000000,2000000,,2000000,,Advanced Radar Absorbing Tiles for Surface Ships,Modesto,,CA,Defense,RDTE,Navy,Ship Self Defense (Engage Soft Kill/EW),Cardoza; Radanovich,D; R,CA; CA,,Feinstein,D,CA,,,Westland Technologies Inc.,,0
4870,150000,,150000,147000,,Bollingbrook Park District for construction of the LEED Platinum nature center,Bollingbrook,,IL,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,Biggert,R,IL,,,,,,,,,0
4871,300000,,,493500,,"East Orange, NJ Criminal Regional Intelligence Sharing Project (C.R.I.S.P)",East Orange,,NJ,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Payne,D,NJ,,,,,,,,,0
4872,,400000,341000,335043,,"Free Clinics of Iowa in Des Moines, to support a network of free clinics",Des Moines,,IA,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,,,,,Harkin,D,IA,,,,,0
4873,,600000,600000,588000,,"Neighborhood House, Highpoint Neighborhood Center, for construction of a community center",Seattle,,WA,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,McDermott,D,WA,,Murray,D,WA,,,,,0
4874,,600000,402000,393960,0,"Business Support Incubator, to support job creation in central Arkansas",,,AR,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,,,,,Lincoln; Pryor,D; D,AR; AR,,,,,0
4875,800000,,800000,784000,,"FRTA, Franklin Regional Transit Center",,,MA,Transportation and Housing & Urban Development,Transportation,FTA; Buses and Bus Facilities,,Olver,D,MA,1,,,,,,,,0
4876,250000,,243000,238755,,"Louisville Metro Department of Public Works, Louisville, KY for facilities and equipment for a mobile health unit",Louisville,,KY,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,Yarmuth,D,KY,,,,,,,,,0
4877,125000,,121000,118886,,"Neighborhood First Program, Inc., Bristol, PA for services for at-risk youth",Bristol,,PA,Labor-HHS-Education,Department of Labor ,Employment and Training Administration ,,"Murphy, Patrick",D,PA,8,,,,,,,,0
4878,1500000,,,1200000,,Technology Insertion Demonstration and Evaluation (TIDE),Pittsburgh,,PA,Defense,RDTE,Air Force,Industrial Preparedness,Doyle,D,PA,,,,,,,Doyle Center for Manufacturing Technology,,0
4879,,150000,,133950,,"City of Baton Rouge/Parish of Baton Rouge, for a communication technology pilot program",Baton Rouge,,LA,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,,,,,Landrieu; Vitter,D; R,LA; LA,,,,,0
4880,,2000000,,1600000,,Fuel Cell Cost Reduction and Durability Improvements ,,,UNK,Defense,RDTE,Army,Combat Vehicle and Automotive Advanced Technology ,Levin,D,MI,12,Levin; Stabenow,D; D,MI; MI,,,,,0
4881,,1000000,713000,702000,,Honga River and Tar Bay,,,MD,Energy & Water,Corps of Engineers,Operation & Maintenance,,Gilchrest,R,MD,,Cardin; Mikulski,D; D,MD; MD,,,,,0
4882,275000,,275000,269500,,"Mahar Regional School, for renovation, construction and facility build out of a recreational facility",,,MA,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,Olver,D,MA,1,,,,,,,,0
4883,,2000000,1200000,1176000,,"NeighborhoodsNOW, Community Foundation of Wyandotte County",Kansas City,,KS,Transportation and Housing & Urban Development,HUD,Neighborhood Initiatives,,,,,,Brownback,R,KS,,,,,0
4884,,200000,150000,149000,,"Advancing Biofuel Production, Baylor University",,,TX,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,,,,,Hutchison,R,TX,,,Baylor University,,0
4885,,520000,348400,341432,,"City of Milford, for the rehabilitation of Eisenhower Park",Milford,,CT,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,,,,,Lieberman,I,CT,,,,,0
4886,,1404000,1080000,1080000,,Galisteo Dam,,,NM,Energy & Water,Corps of Engineers,Operation & Maintenance,,"Udall, Tom",D,NM,3,Bingaman; Domenici,D; R,NM; NM,,O & M-Disclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
4887,,1500000,,1316000,,"Marine Debris Removal and Detection, Alaska",,,AK,"Commerce, Justice & Science",Department of Commerce,NOAA; NOS,,,,,,Stevens,R,AK,,,,,0
4888,,,750000,738000,,Surge and Wave Island Modeling Studies,,,HI,Energy & Water,Corps of Engineers,National Programs; Coastal Field Data Collection,,Hirono,D,HI,,Inouye,D,HI,,,,"This earmark is a subset of the $4,500,000 provided for Coastal Field Data Collection, the Administration requested $1,400,000. This earmark was inlcuded in the Senate bill that provided $3,500,000 over the Budget Request.",0
4889,,1200000,1200000,1181000,,Consolidated Business Center's Completed Sites Administration and Support,Cincinnati,,OH,Energy & Water,Non-Defense Environmental Cleanup,Small Sites,,,,,,,,,,Undisclosed,,,0
4890,,3200000,,3200000,3200000,Convoy Live Fire Training Range,Fort Bliss,,TX,Military Construction,BRAC Projects 2005,Army,,,,,,,,,President-Solo & Und.,,,Commission recommendation; 10,0
4891,400000,,400000,392000,,"Gainesville Regional Airport, taxiway rehabilitation",Gainesville,,FL,Transportation and Housing & Urban Development,Transportation,FAA; Airport Improvement Program,,Stearns,R,FL,,Martinez,R,FL,,,,,0
4892,,100000,0,0,0,North Carolina International Port,,,NC,Energy & Water,Corps of Engineers,General Investigations,,,,,,Burr; Dole,R; R,NC; NC,,,,,0
4893,,200000,200000,197000,0,Surf City and North Topsail Beach,,,NC,Energy & Water,Corps of Engineers,General Investigations,,"Jones, Walter; McIntyre",R; D,NC; NC,,Burr; Dole,R; R,NC; NC,,,,,0
4894,,,,6502778,,Coop Institute for Coastal and Estuarine Enviro Tech (CICEET),,,NH,"Commerce, Justice & Science",Department of Commerce,NOAA; NOS,,,,,,,,,,Undisclosed,,,0
4895,685412,,685000,680000,,"Foundry Sand By-Products Utilization, Beltsville, MD",Beltsville,,MD,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,Hoyer; Kaptur,D; D,MD; OH,,,,,,,,,0
4896,,500000,500000,492000,,Gauley River National Recreation Area,,,WV,Interior,National Park Service,Land Acquisition,,,,,,Byrd,D,WV,,,,,0
4897,600000,,,564000,,Kansas Regional Community Policing Institute,,,KS,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Tiahrt,R,KS,4,Brownback,R,KS,,,,,0
4898,,2000000,,1600000,,Surgical Wound Disinfection and Biological Agents ,,,UNK,Defense,RDTE,Army,Medical Advanced Technology,Berry,D,AR,1,"Lincoln; Nelson, Ben; Pryor",D; D; D,AR; NE; AR,,,,,0
4899,,4000000,,4000000,,Arroyo Center Program Adjustment,Santa Monica,,CA,Defense,RDTE,Army,Rand Arroyo Center,,,,,Feinstein,D,CA,,,,,0
4900,400000,,390000,383187,,"Cooperative Educational Service Agency No. 5, Portage, Wl for after-school programs",Portage,,WI,Labor-HHS-Education,Department of Education,Fund for the Improvement of Education,,Obey,D,WI,7,,,,,,,,0
4901,,350000,292000,286899,,"Des Moines Community School District and Urban Dreams, Des Moines, IA, to continue a demonstration on full service community schools",Des Moines,,IA,Labor-HHS-Education,Department of Education,Fund for the Improvement of Education,,,,,,Harkin,D,IA,,,,,0
4902,250000,,341000,335043,,"Gavin Foundation, South Boston, MA for substance abuse treatment services at its Cushing House facility for adolescents",South Boston,,MA,Labor-HHS-Education,Department of Health and Human Services,Center for Substance Abuse Treatment,,Lynch,D,MA,9,,,,,,,,0
4903,,1238000,1164000,1164000,,Surry Mountain Lake,,,NH,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,,,,,O & M-Undisclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
4904,,4000000,,3500000,,Army Conservation and Ecosystem Management,,,UNK,Defense,Operation and Maintenance,Army,Base Operations Support,,,,,Inouye,D,HI,,,,,0
4905,,200000,,178600,,"County of Solano, Solano County, CA, for enforcement teams addressing meth and gangs",,Solano,CA,"Commerce, Justice & Science",Department of Justice,COPS; Meth,,Tauscher,D,CA,,Boxer,D,CA,,,,,0
4906,500000,,500000,490000,,"George Bush Intercontinental, noise mitigation",Houston,,TX,Transportation and Housing & Urban Development,Transportation,FAA; Airport Improvement Program,,Poe,R,TX,,,,,,,,,0
4907,,5950000,,5950000,5950000,Special Operations Forces Academic Instruction Facility,Camp Pendleton,,CA,Military Construction,Military Construction Project Listing,Defense-Wide,,,,,,,,,President-Solo,,,,0
4908,,123000,116000,116000,,Surveillance of Northern Boundary Waters,,,IL,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,,,,,O & M-Undisclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
4909,,500000,233000,229000,,Crescent City Harbor,,,CA,Energy & Water,Corps of Engineers,Operation & Maintenance,,"Thompson, Mike",D,CA,1,Boxer; Feinstein,D; D,CA; CA,,,,,0
4910,5000000,,,4000000,,Floating Area Network (FAN) Littoral Sensor Grid,Port Townsend,,WA,Defense,RDTE,Navy,SC-21 Total Ship System Engineering,Dicks,D,WA,,,,,,,Mobilisa Inc.,,0
4911,100000,,,94000,,Georgia State University HIV / Prisoner Reentry Program,Atlanta,,GA,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,"Lewis, John",D,GA,,Chambliss; Isakson,R; R,GA; GA,,,,,0
4912,400000,,400000,394000,0,"Ohio Environmental Infrastructure, OH; Timberlake, Ohio",,,OH,Energy & Water,Corps of Engineers,"Construction, General",,Pryce,R,OH,,,,,,,,"Subset of $19,500,000 for Ohio Environmental Infrastructure",0
4913,,8000000,8732000,8592000,,Surfside-Sunset-Newport Beach,,,CA,Energy & Water,Corps of Engineers,"Construction, General",,"Rohrabacher; Sanchez, Loretta",R; D,CA,,,,,,,,This project was shifted from O&M to construction. ,0
4914,200000,,,493500,,"Barrington-Inverness, IL Police Department Interoperable Communications Network ",Barrington-Inverness,,IL,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Bean,D,IL,,,,,,,,,0
4915,444820,,445000,442000,,"Broomweed Biological Controls, Albany, CA",Albany,,CA,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,"Thompson, Mike",D,CA,1,,,,,,,,0
4916,245000,200000,239000,234825,,"Crisis Nursery of the Ozarks, Springfield, MO for a child abuse prevention program",Springfield,,MO,Labor-HHS-Education,Department of Health and Human Services,Administration for Children and Families,,Blunt,R,MO,,Bond,R,MO,,,,,0
4917,250000,,243000,238755,,"Eastern Shore Community College Industrial Maintenance Program, Melfa, VA for curriculum development",Melfa,,VA,Labor-HHS-Education,Department of Education,Fund for the Improvement of Postsecondary Education,,Drake,R,VA,,,,,,,,,0
4918,121242,,121000,120000,,"National Germplasm Resources System, Beltsville, MD",Beltsville,,MD,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,Hoyer,D,MD,,Cardin; Mikulski,D; D,MD; MD,,,,,0
4919,,250000,206000,202401,,"Central Carolina Allied Health Center, Sumter, SC, for construction, renovation, and equipment",Sumter,,SC,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,Spratt,D,SC,,Graham,R,SC,,,,,0
4920,,400000,390000,383187,,"Cristo Rey High School, Chicago, IL, to improve technologies for the school's library and technology center",Chicago,,IL,Labor-HHS-Education,Department of Education,Fund for the Improvement of Education,,,,,,Durbin,D,IL,,,,,0
4921,250000,,500000,490000,,Grand Lagoon Bridge Replacement and Thomas Drive Widening Project,,Bay,FL,Transportation and Housing & Urban Development,Transportation,FHWA; Surface Transportation Priorities,,Boyd,D,FL,,"Martinez; Nelson, Bill",R; D,FL; FL,,,,,0
4922,910000,300000,915000,900000,300000,Indiana Harbor,,,IN,Energy & Water,Corps of Engineers,General Investigations,,Visclosky,D,IN,1,,,,President and Member(s),,,,0
4923,250000,,250000,245000,,Lynchburg Academy of Fine Arts for renovations to Lynchburg Academy of Music,Lynchburg,,VA,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,Goodlatte,R,VA,,,,,,,,,0
4924,100000,,,188000,,"Crittenden County, AR Sheriff's Department Methamphetamine Law Enforcement",,Crittenden,AR,"Commerce, Justice & Science",Department of Justice,COPS; Meth,,Berry,D,AR,1,,,,,,,,0
4925,500000,,500000,492000,,Great Lakes Research Vessel Infrastructure,,,WI,Interior,U.S. Geological Survey,"Surveys, Investigations and Research",,Obey,D,WI,7,,,,,,,,0
4926,,760000,715000,715000,,Indiana Harbor,,,IN,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,,,,,O & M-Undisclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
4927,,13000000,10000000,9800000,,MARC Commuter Rail Improvements and Rolling Stock,,,MD,Transportation and Housing & Urban Development,Transportation,FTA; New Starts,,Sarbanes,D,MD,,Cardin; Mikulski,D; D,MD; MD,,,,,0
4928,,24000000,,24000000,24000000,Unit Operation Facilities (Grow the Force),Fort Campbell,,KY,Military Construction,Military Construction Project Listing,Army,,,,,,McConnell,R,KY,President and Member(s),,,,0
4929,,250000,,200000,,"Alabama Small Business Institute of Commerce, Small Business Incubator",Rainbow City,,AL,Financial Services,Small Business Administration,Salaries and Expenses,,,,,,Shelby,R,AL,,,,,0
4930,,600000,600000,590000,,Atomic Testing Museum for Operations and Maintenance,Las Vegas,,NV,Energy & Water,Department of Energy,Congressionally Directed Weapons Activities ,,,,,,Reid,D,NV,,,,Operation and Maintenance,0
4931,,150000,,133950,,"Greeley Police Department, Weld County, CO, for anti-meth equipment",,Weld,CO,"Commerce, Justice & Science",Department of Justice,COPS; Meth,,,,,,Salazar,D,CO,,,,,0
4932,,,70000,69000,,Honolulu,,,HI,Energy & Water,Corps of Engineers,National Programs; Planning Assistance to States,,,,,,Inouye,D,HI,,,,"This earmark was listed for priority for the $5,742,000 the Senate provided for this program, $1,192,000 over the President's request.",0
4933,3100000,,,2500000,,Norfolk State University Center for Systems and Modeling & Simulation,Norfolk,,VA,Defense,RDTE,Army,Medical Advanced Technology,"Scott, Bobby",D,VA,,,,,,,Center for Systems and Modeling and Simulation,,0
4934,,500000,500000,492000,0,Auburn Regional Bioenergy Enterprise,Auburn,,NY,Energy & Water,Department of Energy,Congressionally Directed Energy Efficiency and Renewable Energy Projects,,Arcuri,D,NY,,Clinton; Schumer,D; D,NY; NY,,,,,0
4935,300000,,450000,441000,,Greater Richmond Transit Company Bus Operations and Maintenance Facility,,,VA,Transportation and Housing & Urban Development,Transportation,FTA; Buses and Bus Facilities,,"Scott, Bobby",D,VA,,Warner; Webb,R; D,VA; VA,,,,,0
4936,150000,,150000,147000,,"Jewish Home for the Aging, for renovation and build out of a residential facility for seniors with disabilities",Reseda,,CA,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,Sherman,D,CA,,,,,,,,,0
4937,2000000,4000000,,3200000,,ONAMI Safer Nanomaterials and Nanomanufacturing,Corvalis,,OR,Defense,RDTE,Air Force,Materials,Blumenauer; DeFazio; Hooley; Walden; Wu,D; D; D; R; D,OR; OR; OR; OR; OR,,Smith; Wyden,R; D,OR; OR,,,Oregon Nanoscience & Microtechnologies Institute,,0
4938,50000,,48000,47161,,"Sylvan Grove Hospital, Jackson, GA for facilities and equipment",Jackson,,GA,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,Marshall,D,GA,8,,,,,,,,0
4939,270000,,,371300,,"Green Bay, WI Police Squad Video System",Green Bay,,WI,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Kagen,D,WI,,Kohl,D,WI,,,,,0
4940,,650000,287000,281986,,"Henry Ford Health System, Detroit, Ml, for training in advanced techniques",Flint,,MI,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,,,,,Levin; Stabenow,D; D,MI; MI,,,,,0
4941,75000,,73000,71725,,"Kelberman Center, Utica, NY to expand programs for pre-school and school age children with autism spectrum disorder",Utica,,NY,Labor-HHS-Education,Department of Education,Fund for the Improvement of Education,,Arcuri,D,NY,,,,,,,,,0
4942,,1421000,1336000,1336000,,Ray Roberts Lake,,,TX,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,,,,,O & M-Undisclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
4943,685000,,326000,321000,0,"Wood River Levee, IL",,,IL,Energy & Water,Corps of Engineers,"Construction, General",,Costello,D,IL,,,,,,,,,0
4944,,500000,390000,383187,,"Fletcher Allen Health Care, Burlington, VT, for construction, renovation and equipment",Burlington,,VT,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,,,,,Leahy,D,VT,,,,,0
4945,,100000,,89300,,"Greater Routt and Moffat Narcotics Enforcement Team (GRAMNET), Routt County, for anti-meth operations",,Routt,CO,"Commerce, Justice & Science",Department of Justice,COPS; Meth,,,,,,Salazar,D,CO,,,,,0
4946,,400000,390000,383187,,"Kellogg Hubbard Library, Montpelier, VT, for education and outreach",Montpelier,,VT,Labor-HHS-Education,Related Agencies,Institute of Museum and Library Services,,,,,,Leahy,D,VT,,,,,0
4947,350000,,,587500,,"North Metro Task Force, Adams County and City/County of Broomfield, CO Police Departments ",Broomfield,"Adams,  Broomfield",CO,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Perlmutter,D,CO,,Salazar,D,CO,,,,,0
4948,,6300000,,6300000,6300000,Readiness Center (SBCT),Gettysburg,,PA,Military Construction,Military Construction Project Listing,Army National Guard,,,,,,,,,President-Solo,,,,0
4949,500000,,,470000,,"Aquatic Resources Environmental Initiative, Eastern Kentucky PRIDE - PAC",,,KY,"Commerce, Justice & Science",Department of Commerce,NOAA; Procurement,,"Rogers, Harold",R,KY,,,,,,,,,0
